##n,orderinfo,name,comment,z,x,y, pixmax,intensity,sdev,volsize,mass,,,, color_r,color_g,color_b
0, , ,, 57.000,224.000,58.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 59.000,203.000,64.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 59.000,1414.000,83.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 53.000,1262.000,89.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 61.000,824.000,97.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 56.000,1158.000,94.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 60.000,1063.000,95.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 54.000,1186.000,96.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 57.000,762.000,108.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 55.000,1171.000,110.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 56.000,1152.000,113.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 56.000,1159.000,40.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 54.000,1231.000,50.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 58.000,1378.000,56.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 63.000,354.000,58.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 58.000,1141.000,55.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 61.000,57.000,72.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 56.000,1505.000,99.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 56.000,1242.000,99.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 59.000,1281.000,38.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 56.000,1340.000,40.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 60.000,1352.000,39.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 56.000,1502.000,47.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 66.000,1185.000,54.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 61.000,1174.000,62.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 62.000,95.000,70.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 63.000,154.000,81.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 56.000,1352.000,94.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 61.000,1376.000,39.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 59.000,1132.000,35.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 57.000,1174.000,38.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 57.000,1326.000,41.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 59.000,1549.000,46.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 62.000,545.000,46.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 57.000,1212.000,50.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 62.000,1154.000,60.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
